SN,AGE,EMPLOY,ADDRESS,DEBTINC,CREDDEBT,OTHDEBT,DEFAULTER
184,1,10,6,6.5,0.85,1.36,0
186,2,13,9,8,0.97,1.19,0
187,2,14,21,15,2.79,3.66,1
191,1,4,3,13.2,1.09,1.82,1
192,1,1,8,11,0.75,1.12,0
193,2,10,0,11.2,0.82,2.32,1
194,2,1,6,2.5,0.28,0.25,1
196,1,4,0,4.2,0.5,0.89,0
197,1,1,0,5.9,0.24,0.82,1
198,2,9,10,4.3,0.38,0.83,0
199,3,8,27,6.9,0.4,2.84,0
200,2,6,6,23.1,3.34,4.05,1
202,3,8,10,6.1,0.28,5.08,1
203,3,3,23,9.8,0.97,3.44,0
207,2,7,6,6,0.54,1.02,0
210,1,6,0,1.9,0.09,0.58,0
212,3,5,3,9,1.97,2.35,1
214,2,5,3,5.4,0.58,1.42,1
219,1,7,8,4,0.45,0.75,1
220,1,0,6,8,1.62,3.98,1
224,1,5,6,19.9,3.18,10.75,1
225,3,9,5,20.4,4.04,8.2,1
229,1,0,3,5.6,0.21,0.91,0
230,1,7,3,14.4,0.85,2.32,0
232,3,3,11,8,0.56,2.64,1
234,2,5,1,2.8,0.1,0.82,0
236,1,7,0,6.5,0.53,0.64,0
237,1,4,3,9.5,0.23,2.43,0
238,2,2,11,9.1,0.12,1.25,1
240,2,6,19,19.9,2.54,5.82,1
242,1,10,11,9.5,2.06,1.65,0
243,2,7,10,4.3,0.43,0.94,0
244,3,21,20,14.4,9.6,7.39,0
248,2,5,3,14.1,1.18,2.35,0
249,2,15,11,18.5,1.21,6.19,0
251,3,22,17,11.1,3.32,12.66,0
252,2,13,3,21.3,2.71,8.36,1
254,2,1,1,7.9,0.37,1.29,0
260,2,10,2,9.5,0.57,2.56,0
264,3,9,11,19.2,0.8,3.81,1
267,2,0,1,7.2,0.19,1.32,0
268,2,9,7,14.6,3.11,5.5,1
269,1,2,9,15.2,0.87,1.56,0
273,1,6,4,10.4,0.93,1.77,0
274,2,16,10,21,0.69,7.29,0
275,1,6,7,7.2,0.77,1.96,0
276,1,1,0,10.3,0.38,1.68,1
277,1,2,6,13.6,1.58,1.69,1
279,1,0,11,3.7,0.45,0.18,1
281,2,11,6,4.8,0.35,1,1
282,2,15,2,24.7,4.37,5.26,1
284,1,1,7,10.4,0.57,2.03,0
285,1,9,0,13.9,1.07,2.4,0
288,2,2,16,22.7,1.21,3.79,1
295,2,10,12,9.8,3.24,1.57,1
297,1,3,1,9,0.47,1.06,0
299,1,4,5,5,0.55,0.8,1
301,3,29,18,25.3,20.56,12.08,1
302,3,6,24,9.6,0.62,4.56,0
304,1,6,2,5.2,0.11,0.98,0
306,1,9,4,1.2,0.07,0.15,0
310,3,4,19,10.1,1.06,1.46,0
311,2,19,15,27.1,9.59,6.67,1
312,2,18,8,12.1,4.59,1.94,0
313,1,2,0,14.4,0.59,1.43,1
314,3,6,9,11.6,1.02,2.57,0
315,2,1,6,11.1,1.07,2.15,0
317,2,16,4,20,4.16,6.24,0
318,1,0,2,6.7,0.47,1.07,0
320,1,4,1,3.1,0.28,0.96,1
322,1,3,4,11,0.29,4.66,1
324,2,0,8,8.1,0.9,0.97,1
325,2,5,12,16.4,1.58,4.16,1
326,3,25,12,26.5,14.6,17.2,1
329,1,1,8,8,0.16,2.32,0
332,1,3,3,2.4,0.26,0.94,1
333,1,2,4,2.5,0.46,0.57,1
337,2,7,16,15.4,2.65,3.97,0
339,1,6,8,19.8,5.57,3.73,1
340,1,4,2,14.2,0.44,3.54,1
341,3,6,19,12.2,1.99,1.8,0
343,2,15,19,4.9,0.42,1.15,0
344,2,5,3,16,8.17,27.03,1
346,1,0,8,16.6,0.62,2.53,1
347,1,3,0,4.3,0.36,0.46,0
348,2,10,13,11.3,1.17,2.45,0
350,2,2,1,3.8,0.28,1.09,0
355,3,18,6,15.7,6.57,4.58,1
356,3,7,6,14.5,0.37,7.75,1
357,2,2,15,23.1,1.92,3.17,1
358,1,0,2,16.1,0.32,2.09,1
363,1,6,7,18.1,1.11,2.69,0
365,2,0,18,12.9,1.58,0.74,1
366,2,3,13,1.9,0.43,0.46,0
368,2,18,9,2.1,0.37,0.56,0
371,2,13,11,9.6,1.88,3.02,0
373,3,8,11,3.3,0.68,0.81,0
374,2,14,8,41.3,15.02,14.72,1
375,2,20,17,1.4,0.34,1.07,0
376,1,1,4,2.5,0.13,0.29,0
377,2,7,15,6.4,0.95,1.61,0
378,1,1,0,4.9,0.61,0.42,0
380,1,10,6,2.7,0.31,0.34,0
382,3,13,20,30.8,6.11,9.29,1
383,2,2,12,16,4,3.36,1
384,2,3,3,3.7,0.28,0.65,0
385,3,9,0,9.4,1.33,5.25,1
389,2,7,10,4.9,0.23,0.9,0
392,1,2,5,6.4,0.27,0.75,1
393,2,2,14,3.1,0.53,0.84,0
394,3,5,29,17.3,6.94,6.56,1
395,3,9,1,20.1,2.54,7.91,1
396,2,5,5,13,0.17,3.99,0
399,1,0,7,9.3,1.27,1.33,0
400,1,2,2,9.6,0.8,0.73,1
402,2,4,13,1.6,0.44,0.45,0
403,1,5,2,8.3,1.12,1.95,0
404,1,0,8,29.7,3.9,15.41,1
410,2,10,4,4.8,0.18,1.3,0
412,3,22,24,11.7,1.26,9.39,0
414,1,0,6,12.1,1.6,1.31,1
415,1,1,7,21.2,2.33,3.82,1
418,3,4,2,4.6,0.05,1.28,0
419,2,11,4,23.8,5.44,8.13,1
420,3,19,7,30.1,3.18,11.87,0
421,3,1,15,14.8,1.38,1.73,1
425,1,0,4,18.4,0.82,5.07,1
429,1,2,1,4.5,0.12,1,1
431,2,12,5,25.1,7.82,9.25,1
434,1,0,8,12.9,1.04,1.8,1
438,2,18,14,6.6,3.33,7.04,0
440,2,16,12,3.7,0.69,1.27,0
444,1,3,3,28.9,2.68,3.39,1
445,3,18,14,6.5,16.03,12.96,1
446,3,11,20,15,4.67,4.18,0
447,2,5,9,4.5,0.33,0.71,0
449,3,3,13,13.2,3.04,2.63,1
450,2,2,2,16.4,1.74,1.87,1
453,2,11,17,12.9,2.56,2.47,0
455,2,1,14,16.1,2.69,2.62,1
459,3,1,26,14.3,1.85,1.87,0
462,1,0,2,12.5,0.49,2.14,1
463,2,9,2,2.6,0.12,0.61,0
465,3,0,23,22.3,2.66,4.03,0
467,3,16,26,17.6,15.79,23.1,1
470,1,2,0,4.5,0.29,0.61,1
471,1,7,5,19.8,1.01,2.95,1
472,1,0,3,6.6,0.59,1.32,1
475,2,13,0,2.4,0.41,1.01,0
476,3,12,16,7.7,0.99,4.86,0
477,1,3,2,16.3,0.35,2.58,1
478,1,5,5,10.9,0.4,2,0
479,3,27,21,11.5,0.82,18.27,0
481,3,9,20,5.2,0.55,1.17,0
482,1,2,3,9.7,0.89,1.63,1
485,3,5,17,10.5,3.61,6.26,1
486,2,4,10,5.8,0.57,0.88,0
487,1,2,8,5.7,0.32,0.99,1
488,2,10,13,20.9,6.11,5.8,1
489,2,0,16,15,1.97,1.33,1
490,3,15,31,1.1,0.47,0.19,0
491,2,13,13,3.6,0.23,1.28,0
492,3,13,13,25.2,2.32,20.62,1
493,1,0,2,33.3,2.28,7.04,1
494,2,12,14,16,5.72,4.36,1
495,1,3,2,17.8,1.01,1.84,1
496,3,4,9,7.1,1.19,1.15,1
499,1,0,2,18.9,0.51,2.89,1
500,3,6,0,19.5,4.51,2.51,1
501,1,0,1,7.7,0.48,0.91,0
502,2,3,11,17.2,1.8,5.08,1
504,2,3,19,14.7,0.83,2.55,0
505,1,1,3,18.7,0.89,2.48,1
508,1,9,2,3.5,0.11,0.6,0
514,2,6,9,8.3,0.73,1.01,0
515,3,14,1,8.6,1.2,2.93,1
516,3,11,1,15,0.54,7.11,0
519,3,7,22,2.9,0.07,0.86,0
522,1,5,6,6.8,0.71,0.99,0
523,1,4,7,4.1,0.29,0.49,0
524,3,17,22,3.2,1.47,0.64,0
526,2,6,12,4.2,0.15,1.24,0
529,3,31,14,7.8,4.27,15.15,0
530,1,4,3,23.1,1.89,2.5,1
531,2,6,10,11.7,1.7,1.93,1
532,1,1,3,13.8,1.98,1.47,1
533,3,2,13,16.9,0.38,3,1
534,1,9,8,8.2,0.15,2.31,0
536,2,15,0,13.2,3.74,5.1,0
537,2,9,7,1.7,0.3,0.16,0
538,2,5,5,15,1.81,4.64,1
539,3,18,23,9.6,1.64,4.69,0
540,1,3,0,16.1,0.84,1.42,1
541,2,16,9,7.6,1.47,2.17,0
544,2,4,3,28.5,0.89,3.67,1
545,2,13,18,5.7,0.34,1.08,0
547,2,9,8,13.5,1.19,5.96,0
548,2,10,18,17.3,3.02,18.26,0
549,2,4,11,21.7,0.17,4.17,1
550,3,12,11,26.5,4.99,17.8,1
551,2,0,4,3,0.26,0.34,1
552,1,0,1,9,0.78,2.37,1
554,3,17,23,9.5,0.46,3.44,0
557,2,7,0,2.2,0.13,0.47,0
559,1,2,2,2.5,0.2,0.23,1
563,3,23,11,4,0.65,3.95,0
564,2,11,8,1.3,0.27,0.36,0
565,1,7,2,13.6,6.91,4.51,1
566,3,14,10,16.5,4.94,4.8,1
567,2,12,18,5.8,0.89,2.82,0
569,1,5,4,19.9,2.71,5.65,1
571,1,0,0,12.7,1.42,1.76,1
574,1,3,5,11.3,0.07,1.62,1
575,1,9,0,27.7,5.28,0.81,1
577,1,8,0,5.6,0.57,0.38,1
578,3,22,4,7.3,0.29,5.48,0
581,2,2,9,4.5,0.83,0.83,0
584,2,16,14,36.6,7.32,10.98,1
585,1,0,1,33.4,2.8,3.21,1
588,3,17,0,15,2.44,6.86,0
590,1,3,6,6.1,0.54,1.05,1
591,3,10,1,13.2,4.96,0.85,1
592,1,0,0,8.4,0.37,1.56,1
595,1,2,0,14.8,1.94,0.72,1
596,2,10,16,5.7,0.22,2.01,0
597,1,1,1,8.5,0.13,2.76,1
598,2,5,0,14.8,2.59,1.55,1
599,2,2,10,9.6,1.04,1.26,0
600,1,3,4,25.1,5.9,4.39,1
602,3,24,12,14,6.59,5.03,0
604,3,9,13,5,0.44,1.91,0
605,1,3,5,25.7,2.53,4.93,1
607,1,1,3,25.6,1.98,2.63,1
611,3,4,14,19.2,1.47,3.52,1
612,3,9,23,13.8,1.62,2.66,0
613,2,3,15,16.5,1.75,7.32,1
614,3,17,0,2.5,0.55,2.67,0
616,2,20,15,5.4,1.06,2.18,0
617,1,0,3,4.8,0.12,1.32,1
618,1,6,7,5.1,0.45,0.47,1
619,1,3,3,11.4,1.27,1.23,1
621,1,1,1,6.9,0.19,1.12,0
625,1,6,4,5.4,1.17,1.31,0
626,3,15,8,3.6,2.4,4.29,0
629,1,2,6,19.8,1.02,3.14,0
633,3,31,9,23.1,14.23,17.18,1
634,1,1,0,8.4,1.21,0.55,1
635,2,12,8,4.1,0.32,3.08,0
637,1,0,7,13.3,2.15,1.71,1
638,2,7,11,30.7,3,9.59,1
641,3,1,16,4.4,0.24,0.59,0
642,3,16,31,5.6,1.33,1.13,0
643,2,6,5,11.5,2.33,0.54,0
646,1,0,1,3.9,1.02,0.62,1
647,2,11,6,6.8,0.3,2.01,0
649,3,11,17,1.3,0.18,0.3,0
651,3,6,7,6.4,0.59,1.13,1
652,2,4,9,13.6,1.25,1.34,0
654,1,2,0,9.4,0.23,1.65,1
655,2,11,2,32.5,1.27,9.46,0
656,3,15,5,2.1,0.32,0.94,0
657,2,12,9,6.6,0.44,1.14,0
658,2,16,10,10.5,1.14,4.84,0
661,2,2,3,7.1,0.18,1.8,0
662,2,0,13,0.9,0.12,0.16,1
663,2,6,8,2.8,0.4,1.11,0
666,3,24,10,5.6,2.99,2.66,0
668,2,0,12,0.9,0.08,0.13,0
669,2,7,14,4.9,0.26,1.16,0
671,1,3,4,6.3,0.55,0.96,0
672,1,0,7,12.8,0.58,1.72,0
673,2,6,1,1.2,0.04,0.2,0
674,2,0,5,11.1,1.37,2.4,1
677,1,8,1,11.8,0.44,4.28,0
678,2,6,9,2.1,0.39,0.37,1
680,2,17,4,3,0.09,1.17,0
681,1,7,2,25.4,1.17,7.22,1
682,1,4,0,9.7,0.2,1.16,1
686,2,7,5,16.1,1.7,4.58,1
687,2,1,4,7.9,0.85,0.73,0
688,2,10,1,10.3,2.5,0.9,1
689,2,12,12,10.8,1.37,5.98,0
691,1,0,5,7.3,0.02,1.14,0
693,3,0,26,28.9,2.75,5.05,1
696,2,6,15,4.6,0.26,0.98,1
697,1,6,4,11.5,0.37,2.05,0
698,2,15,3,7.6,0.49,1.94,0
699,3,19,22,8.4,2.3,4.17,0
700,2,12,14,14.7,2.99,3.47,0
