Custid,BillAmt_1,BillAmt_2,BillAmt_3
139,7.84,0.7,3.08
140,10.75,3.93,1.97
141,16.71,1.95,3.41
142,19.08,4.36,6.79
143,4.56,2.06,4.95
144,9.41,2.76,2.58
145,8.69,2.76,4.97
146,7.56,0.7,2.72
147,15.9,3.05,2.97
148,11.45,3.02,0.85
149,11.88,1.83,2.55
150,8.92,2.49,2.97
151,18.72,3.17,9.31
152,6.89,2.28,4.34
153,20.18,1.52,3.74
154,7.94,1.62,2.51
155,13.76,2.76,4.46
156,23.99,4.72,5.17
157,14.14,4.64,3.37
158,15.96,2.59,3.62
159,15.42,2.47,4.5
160,4.92,0.65,2.8
161,12,3.79,2.05
162,10.96,2.92,3.34
163,8.77,0.54,1.52
164,5.52,0.56,0
165,15.68,2.81,3.07
166,23.11,7.2,14.41
167,17.11,3.58,3.59
168,10.55,3.77,3.23
169,2.21,2.4,0.91
170,8.88,2.17,1.87
171,11.86,3.27,2.27
172,12.11,2.53,2.89
173,7.13,2.55,1.88
174,10.49,5.33,4.28
175,8.17,2.4,2.54
176,11.57,2.4,2.6
177,18.7,0.18,2.96
178,8.38,2.13,2.17
179,12.32,2.67,2.21
180,26.09,2.17,7
181,5.03,0.58,3.66
182,6.42,1.89,3.02
183,5.08,2.57,3.05
184,9.77,2.93,2.7
185,26.01,1.73,7.36
186,10.69,2.05,1.22
187,16.25,3.36,4.96
188,18.89,7.24,5.22
189,10.74,0.43,2.58
190,18.3,5.7,9.72
191,15.8,3.82,2.94
192,14.56,1.23,2.45
193,14.1,2.81,3.46
194,3.12,2.65,0.51
195,7.78,0.36,4.17
196,4.42,0.74,2.58
197,6.56,0.63,1.16
198,7.17,2.08,1.73
199,8.5,0.7,4.03
200,23.76,3.81,4.22
201,4.18,0.38,2.32
202,9.04,3.17,5.6
203,10.11,2.67,4.93
204,12.94,2.63,4.51
205,8.91,2.37,4.79
206,8.73,5.29,6.08
207,7.31,1.45,1.42
208,2.1,1.76,1.92
209,7.28,2.99,4.43
210,6.37,1.17,1.05
211,14.96,1.61,13.71
212,11.52,2.78,3.31
213,8.75,2.9,2.52
214,9.75,2.54,1.93
215,14.51,4.52,4.87
216,9.96,1.79,2.38
217,13.19,3.79,3.7
218,16.34,4.17,16.15
219,7.04,1.79,2.32
220,9.37,3.96,5.05
221,2.72,0.52,1.43
222,13.57,2.9,2.95
223,14.85,4.8,11.15
224,21.39,6.11,12.05
225,22.3,4.26,8.46
226,10.43,2.18,2.75
227,20.43,4.65,6.23
228,4.28,3.65,0.6
229,6.5,0.29,1.11
230,16.39,2.74,2.67
231,16.78,1.82,7.74
232,11.11,1.12,3.94
233,4.74,0.78,1.57
234,7.48,1.24,2.54
235,2.67,2.68,0.37
236,9.83,1.61,0.94
237,11.6,1.82,3.05
238,13.98,2.44,1.81
239,7.18,1.41,3.67
240,21.19,4.78,6.21
241,19.27,3.45,3.5
242,14.48,2.1,2.51
243,6.31,2.29,1.95
244,18.86,11.97,9.29
245,15.48,3.35,5.05
246,25.22,3.96,6.43
247,3.71,0.45,2.49
248,19,1.68,2.85
249,22.7,1.47,6.6
250,15.03,5.7,9.87
251,13.85,5.63,14.46
252,25.99,3.71,9.27
253,6.7,1.46,2.45
254,11.95,1.37,3.24
255,10.06,1.98,3.39
256,11.54,4.25,7.05
257,7.42,2.68,2.02
258,13.46,4.08,4.69
259,7.2,4.28,1.33
260,13.64,0.97,3.43
261,26.32,2.43,6.44
262,10.01,2.2,3.84
263,13.64,2.62,2.41
264,22.64,2.6,4.81
265,6.82,3.01,3.22
266,9.51,2.4,2.21
267,8.5,1.38,2.12
268,18.75,3.69,5.93
269,19.73,3.83,2.72
270,8.08,2.45,2
271,11.11,6.26,6.31
272,5.19,1.66,1.47
273,13.04,2.61,2.47
274,21.86,0.73,9.26
275,11.13,2.66,2.07
276,13.67,1.19,3.6
277,15.21,3.34,3.18
278,4.15,2.42,2.35
279,7.31,0.59,0.99
280,11.98,2.76,3.02
281,7.08,1.87,1.71
282,27.48,6.76,6.14
283,14.88,1.68,6.08
284,11.32,1.49,2.93
285,16.51,1.18,3.69
286,12.38,3.34,3.56
287,10.46,2.38,2.79
288,26.47,2.56,4.36
289,3.6,2.02,2.4
290,8.39,2.54,3.31
291,5.93,2.96,1.61
292,6.35,2.18,3.24
293,7.5,2.9,4.38
294,3.43,1.17,1.8
295,13.22,3.67,2
296,7.84,2.1,2.55
297,10.6,3.24,2.25
298,19.59,5.04,1.98
299,5.04,3.43,2.75
300,5.69,1.01,0.58
301,29.93,22.49,13.37
302,13.5,3.03,5.29
303,8.25,2.34,4.79
304,5.94,2.26,1.3
305,9.27,2.94,4.21
306,1.38,0.93,0.2
307,16.18,0.75,7.23
308,23.96,2.19,10.98
309,10.98,2.91,0.87
310,14,3.17,3.28
311,28.56,10.14,8.48
312,12.47,6.52,2.15
313,16.72,0.86,2.47
314,15.9,1.11,4.22
315,13.36,3.07,2.59
316,18.03,1.71,3.57
317,20.18,4.73,7.79
318,10.88,2.8,1.93
319,7.23,2.38,2.16
320,4.61,1.76,1
321,8,0.56,2.67
322,14.14,1.47,6.41
323,2.96,1.29,2.1
324,9.86,3.44,1.36
325,16.89,4.45,4.63
326,29.37,15.07,18
327,17.48,4.86,14.24
328,5.27,2.99,1.87
329,11.77,2.15,3.59
330,15.26,1.57,3.05
331,5.13,0.88,0.93
332,6.01,2.2,2.39
333,7.38,3.26,2.05
334,13.32,3.42,3.92
335,14.59,5.53,7.94
336,6.77,0.14,2.55
337,19.9,3.23,4.31
338,10.26,3.3,4.36
339,24.24,6.78,5.43
340,15.38,1.78,5.1
341,15.35,4.29,3.35
342,7.41,2.27,1.54
343,8.01,1.84,2.89
344,16.03,9.71,27.41
345,16.07,5.05,6.57
346,18.41,1.24,3.03
347,6.41,2.94,1.65
348,11.66,3.44,3.3
349,5.26,1.56,1.98
350,7.16,2,2.44
351,0.78,1.68,2.14
352,21.68,3.51,3.9
353,3.96,1.72,1.18
354,10.11,3.01,5.41
355,16.81,9.48,6.45
356,18,0.85,8.61
357,26.79,2.88,5.15
358,19.67,3.04,2.84
359,25.47,4.78,9.95
360,8.62,1.78,0.48
361,5.26,2.34,1.31
362,4.3,0.64,0.91
363,21.04,1.49,2.76
364,9.28,2.64,3.48
365,14.01,3.43,1.68
366,2.18,0.72,1.72
367,8.2,1.79,1.72
368,2.95,2.72,2.26
369,12.15,7.79,4
370,6.98,1.14,2.62
371,13.17,1.89,4.44
372,12.74,1.03,1.86
373,3.43,1.45,2.12
374,42.17,16.97,15.31
375,3.43,0.52,2.07
376,6.42,0.91,1.08
377,8.56,3.12,1.63
378,5.62,2,1.42
379,7.3,3.27,2.9
380,2.84,1.06,0.9
381,11.58,3.61,3.59
382,33.91,8.19,10.09
383,18.44,6.96,5.05
384,4.55,2.48,2.39
385,12.68,3.21,6.47
386,24.3,3.33,6
387,7.54,3.1,2.49
388,3.46,0.64,3.97
389,6.24,2.33,2.01
390,8.48,3.11,2.88
391,8.06,2.24,4.23
392,9.59,1.6,1.04
393,3.31,0.93,1.68
394,19.53,9.56,6.97
395,21.44,3.07,8.88
396,15.15,1.65,4.1
397,19.62,4.04,5.19
398,12.67,4.37,2.3
399,13.53,3.68,1.39
400,12.48,2.76,2.5
401,11.61,1.39,2.91
402,4.33,2.09,1.94
403,11.13,1.93,3.85
404,31.6,4.19,16.29
405,15.74,5.02,3.25
406,13.84,1.69,7.56
407,11.01,3.63,1.73
408,8.89,2.84,5.14
409,5.76,1.24,2.18
410,9.21,0.47,3.07
411,3.29,3.01,2.15
412,14.77,2.4,10.13
413,8.84,4.77,2.91
414,14.23,4.51,2.62
415,23.64,2.45,4.88
416,8.78,2.95,3.99
417,6.23,2.87,2.58
418,7.19,1.31,2.14
419,26.84,6.89,9.7
420,34.04,5.25,12.56
421,16.6,2.12,3.25
422,7.63,0.66,5.05
423,7.55,1.41,0.94
424,3.25,2.73,2.22
425,20.19,1.92,6.82
426,3.81,0.53,1.6
427,3.08,0.57,1.09
428,1.52,2.37,1.21
429,5.85,0.82,2.92
430,23.71,9.37,9.24
431,28.45,9.63,10.21
432,8.87,2.4,2.87
433,8.08,0.94,3.71
434,16.98,2.02,3.62
435,20.46,5.35,7.25
436,7.38,2.82,3.32
437,1.78,0.56,1.37
438,6.91,6.22,8.46
439,5.09,3.05,1.4
440,5.76,2.27,1.27
441,19.25,5.76,10.51
442,13.14,2.01,2.53
443,20.22,4.11,13
444,29.69,3.51,3.41
445,7.53,16.08,13.84
446,19.22,7.33,5.34
447,8.18,2.07,1.45
448,13.37,3.71,2.54
449,16.92,4.22,4.12
450,16.9,2.87,2.72
451,4.69,4.12,5.5
452,12.68,0.98,2.61
453,14.22,2.62,4.46
454,8.6,2.46,2.76
455,19.84,5.31,3.11
456,12.86,2.1,2.72
457,8.97,1.67,10.58
458,19.95,3.19,2.31
459,18.83,3.98,2.19
460,5.25,2.47,2.29
461,6.49,3.06,1.22
462,12.83,2.78,2.99
463,5.13,1.01,1.98
464,7.01,3.36,1.59
465,23.78,5.6,4.29
466,25.97,2.51,3.89
467,18.23,16.04,23.25
468,6.76,3.22,2.11
469,19.42,2.5,10.89
470,6.59,1.55,1.31
471,22.4,1.48,3.73
472,8.2,1.72,2.08
473,12.32,2.73,3.72
474,6.27,2.95,0.94
475,6.32,2.77,2.98
476,11.95,1.18,5.43
477,17.16,0.47,3.39
478,14.23,2.16,3.82
479,14.4,1.47,20.17
480,18.54,5.43,6.8
481,9.96,1.65,2.75
482,9.73,3.1,1.84
483,8.25,1.89,3.49
484,7.73,1.76,1.48
485,11.06,5.69,7.96
486,8.1,1.04,2.22
487,5.71,1.69,2.38
488,25.83,6.23,6.08
489,17.28,4.4,1.81
490,1.7,0.94,1.58
491,8.01,1.98,2.33
492,28.51,2.72,22.43
493,35.7,3.73,9
494,16.08,7.69,5.04
495,18.89,3.58,3.18
496,11.41,3.81,2.62
497,9.33,5.73,5.92
498,14.74,1.94,11.47
499,23.23,0.64,4.41
500,20.6,6.42,4.17
501,8.7,1.75,2.19
502,17.76,2.09,5.87
503,11.29,3.23,12.54
504,18.42,3.69,3.91
505,20.4,3.07,2.65
506,24.66,3.05,5.25
507,5.48,2.51,4.68
508,4.49,1.6,0.75
509,17.81,3.07,2.37
510,8.46,3.64,6.45
511,19.46,5.07,2.47
512,10.39,1.53,5.19
513,6.3,2.83,1.29
514,9.02,3.3,1.44
515,8.89,2.16,4.89
516,15.5,2.86,8.62
517,14.65,4.1,7.41
518,5.99,2.91,2.46
519,5.85,0.56,1.55
520,3.58,0.56,1.49
521,17.48,2.04,6.31
522,7.69,1.48,2.83
523,8.45,1.59,2.01
524,7.62,2.68,2.08
525,10.41,1.85,1.38
526,9.05,3.11,2.31
527,8.12,1.34,4.03
528,14.1,1.69,3.42
529,10.67,6.21,16.41
530,25.77,4.82,2.54
531,13.68,4.21,3.91
532,18.63,3.57,3.3
533,18.36,2.45,4.66
534,12.79,0.28,3.32
535,13.4,3.13,1.74
536,16.24,4.03,5.41
537,3.44,1.6,1.4
538,19.51,3.75,5.94
539,12.99,2.66,5.09
540,17.47,3.68,2.39
541,8.45,2.25,4.04
542,7.04,1.61,2.27
543,22.62,3.59,10.88
544,31.68,0.96,5.28
545,9.26,2.24,1.26
546,11,1.13,4.46
547,14.21,2.53,7.72
548,21.25,5.05,18.84
549,22.63,0.63,5.89
550,29.72,7.46,17.94
551,6.76,2.14,2.29
552,12.31,0.98,3.27
553,21.57,7.93,7.42
554,10.57,3.15,3.98
555,7.46,3.63,2.09
556,7.66,0.47,2.06
557,2.67,1.75,2.18
558,9.68,8.8,11.11
559,2.9,0.7,0.77
560,18.13,6.67,5.25
561,6.69,0.41,1.42
562,7.61,2.86,0.71
563,7.28,2.1,4.55
564,1.81,3.21,2.27
565,14.16,8.47,4.57
566,18.14,5.09,6.56
567,9.28,1.15,3.95
568,8.19,2.82,1.45
569,24.79,5.12,7.23
570,12.47,5.23,6.87
571,16.43,4.17,2.43
572,6.09,2.5,1.27
573,17.02,2.36,13.55
574,11.84,2.25,3
575,28.47,5.84,2.57
576,14.3,1.44,2.73
577,7.1,0.58,1.8
578,9.38,0.34,6.53
579,9.2,1.61,3.14
580,14.9,0.87,3.32
581,7.38,2.67,1.79
582,7.37,1.2,1.1
583,10.16,4.48,3.01
584,37.19,10.31,11.47
585,33.67,4.27,3.31
586,6.72,2.01,1.56
587,8.81,2.21,3.48
588,19.26,3.84,7.66
589,10.33,3.18,3.23
590,6.11,3.36,1.35
591,16.36,5.93,2.62
592,10.37,1.03,2.41
593,17.66,1.34,4.52
594,13.8,2.15,2.62
595,18.18,3.63,2.72
596,6.86,0.9,2.31
597,11.18,0.79,4.5
598,18.17,3.36,1.74
599,11.28,1.86,2.92
600,25.17,7.5,6.32
601,6.45,2.71,3.58
602,15.75,7.18,5.25
603,8.68,5.67,3.97
604,8.9,0.82,2.48
605,26.3,2.79,5.26
606,9.68,4.54,9.82
607,27.11,2,4.51
608,6.58,1.67,1.41
609,7.96,1.48,2.65
610,5.66,2.51,1.6
611,22.76,2.62,5.3
612,14.49,2.51,3.65
613,16.83,2.59,8.07
614,4.83,2,3.87
615,11.14,2.76,3.04
616,7.15,1.55,3.48
617,7.09,0.33,2.63
618,10.03,3.25,1.5
619,13.1,4,2.09
620,19.01,6.27,5.63
621,11.24,1.24,2.17
622,10.37,1.58,3.12
623,7.79,5.45,6.87
624,10.07,2.1,3.7
625,6.77,3.99,2.16
626,4.23,4.36,6.23
627,14.34,3.06,2.4
628,8.57,2.49,2.87
629,20.62,3.32,4.23
630,23.55,3.78,3.95
631,10.71,3.47,4.47
632,15.12,8.12,10.48
633,26.13,16.06,18.83
634,10.13,2.94,0.76
635,8.92,1.16,4.62
636,15.83,5.17,8.05
637,14.09,4.01,2.82
638,32.59,4.99,10.56
639,8.35,1.13,1.61
640,14.73,4.16,3.82
641,8.3,2.86,0.83
642,6.74,3.72,3.03
643,12.79,4.06,2.33
644,4.62,2.68,1.28
645,15.8,4.89,4.21
646,6.96,2.2,1.05
647,7.13,2.77,2.22
648,5.8,1.46,2.01
649,3.09,1.92,0.37
650,20.56,4.4,3.52
651,10.51,3.51,2.25
652,18.36,3.21,1.51
653,11.63,1.11,3.08
654,11.43,1.81,2.38
655,35.1,3,10.07
656,3.81,3.15,2.03
657,9.27,2.55,1.43
658,10.99,1.34,6.43
659,16.18,1.21,3.31
660,15.95,4.29,6.41
661,10.91,0.22,3.64
662,4.65,2.58,0.68
663,5.37,2.96,1.53
664,10.2,3.9,3.09
665,12.25,6.69,4.38
666,6.2,4.02,3.89
667,17.41,4.12,12.37
668,4.36,2.56,0.83
669,6.47,0.85,2.66
670,17.42,3.84,5.3
671,7.55,1.46,1.36
672,17.39,2.99,2.67
673,4.57,0.48,1.95
674,13.04,3.72,2.93
675,5.28,2.95,2.16
676,8.29,4.23,4.68
677,14.91,1.77,6.17
678,3.93,2.62,1.7
679,11.39,1.4,5.26
680,6.09,2.4,1.39
681,28.15,2.7,8.98
682,12.57,0.8,2.13
683,16.16,2.79,3.32
684,9.53,2.09,2.57
685,15.47,2.39,4.73
686,19.03,4.13,6.04
687,8.95,1.55,1.59
688,10.69,4.09,1.91
689,12.94,2.44,6.37
690,11.01,2.5,2.61
691,10.97,2.43,2.53
692,8.99,12.09,10.83
693,30.37,3.66,5.76
694,6.82,2.03,1.53
695,12.76,4.92,6.57
696,6.3,1.6,1.61
697,15.2,0.96,3.23
698,12.27,3.15,2.98
699,10.9,2.49,5.79
700,18.73,5.65,3.79
701,9.34,13.43,6.44
702,21.75,4.25,4.78
703,6.45,1.76,2.93
704,4.49,3.52,1.56
705,21.12,2.21,3.33
706,13.04,1.52,2.35
707,34.02,5.01,18.12
708,5.4,2.34,1.85
709,24.88,2.45,3.79
710,24.03,4.73,2.73
711,2.08,1.71,0.74
712,7.44,1.2,2.13
713,10.83,5.72,4.17
714,17.39,3.77,3.56
715,13.52,5.74,7.21
716,9.53,3.45,4.37
717,20.32,3.08,5.27
718,10.37,3.75,5.61
719,10.36,1.34,4.69
720,3.2,2.13,1.63
721,4.97,3.96,1.2
722,9.39,3.37,2.93
723,10.61,2.22,4.07
724,13.22,3.32,3.73
725,21.89,2.94,3.49
726,21.68,4.4,5.1
727,7.36,2.43,3.98
728,17.48,3.14,11.24
729,19.39,4.59,9.59
730,14.48,1.88,7.03
731,2.47,2.48,1.31
732,13.13,2.29,1.47
733,7.13,2.34,1.63
734,16.63,4.01,3.66
735,7.75,0.28,2.39
736,26.87,7.59,5.71
737,19.78,3.21,3.83
738,16.49,3.22,6.05
739,19.06,2.03,4.43
740,7.3,2.08,2.51
741,7.49,1.79,2.69
742,8.29,3.88,3.99
743,7.1,1.95,2.64
744,13.64,4.46,4.39
745,7.91,1.22,1.57
746,11.69,3.12,2.77
747,7.94,2.2,2
748,12.37,0.62,3
749,12.5,1.71,3.19
750,9.37,2.3,3.18
751,16.53,2.58,3.95
752,18.51,1.37,2.96
753,13.96,5.42,5.47
754,4.33,3.25,2.22
755,12.6,1.32,2.5
756,19.66,2.24,3.2
757,8.62,2.03,2.13
758,5.82,3.02,1.6
759,4.72,2.61,2.86
760,16.06,5.24,8.64
761,5.17,1.14,1.59
762,9.28,2.74,2.06
763,12.67,1.33,2.65
764,9.26,2.26,1.7
765,8.94,4.01,1.97
766,24.76,9.08,10.49
767,10.98,2.18,1.6
768,11.89,4.74,3.14
769,8.89,3.62,1.29
770,22.91,0.63,3.54
771,24.73,3.48,3.69
772,26.91,4.94,5.92
773,13.39,6.71,10.07
774,11.32,3.44,2.93
775,6.49,1.19,0.9
776,27.6,6.45,9.6
777,3.7,0.99,0.8
778,8.05,1.08,2.97
779,5.19,3.09,2.46
780,6.44,2.29,2.43
781,12.21,3.53,2.22
782,21.47,5.43,5.19
783,21.02,3.93,5.02
784,13.87,2.34,1.98
785,5.98,1.08,1.72
786,23.39,3.47,7.43
787,15.48,5.18,2.01
788,28.5,2.32,6.4
789,3.35,2.29,1.34
790,31.37,3.61,3.84
791,10.89,1.11,2.56
792,16.17,2.2,2.51
793,14.91,2.47,5.47
794,7.71,0.82,0.82
795,27.12,2.28,2.16
796,6.2,3.12,2.11
797,5.01,1.44,2.03
798,8.74,2.26,4.02
799,9.7,1.85,2.11
800,9.95,3.59,2.88
801,4.97,3.34,3
802,10.76,1.74,3.33
803,10.48,3.55,1.13
804,3.86,3.69,3
805,25.72,12.55,8.88
806,7.48,1.23,1.43
807,11.45,2.14,4.02
808,16.59,1.39,2.47
809,11.84,1.99,4.66
810,10.36,1.46,4.39
811,8.42,3.15,2.45
812,13.25,3.18,4.9
813,8.88,1.12,1.89
814,23.41,3.85,8.51
815,11.57,4.66,4.46
816,9.81,2.39,2.33
817,6.66,4.1,3.2
818,6,1.36,3.1
819,17.15,1.72,4.08
820,8.3,1.54,1.69
821,13.51,2.2,2.93
822,11.09,0.71,2.07
823,38.59,4.64,9.51
824,16.5,2.48,2.92
825,5.49,2.05,2.16
826,7.43,3.34,2.63
827,14.83,2.08,8.49
828,2.49,1.14,1.39
829,11.55,0.93,2.3
830,8.12,3.61,3.9
831,6.88,1.11,1.52
832,13.13,3.86,3.22
833,18.57,0.56,5.99
834,17.9,3.7,7.55
835,9.69,0.68,2.33
836,3.79,2.59,1.96
837,15.6,2.76,3.32
838,9.18,2.68,1.69
839,7.01,0.49,1.78
840,10.54,1.74,2.04
841,17.23,2.7,2.33
842,21.22,5.41,6.39
843,7.92,3.56,5.82
844,10.56,1.03,3.46
845,6.07,1.05,4.11
846,6.31,0.63,2.53
847,15.63,0.83,3.67
848,13.51,3.96,1.89
849,9.8,2.47,2.29
850,8.35,1.81,3.11
851,19.19,4.04,9.42
852,7.63,3.47,2.52
853,16.32,3.05,2.69
854,8.61,3.18,1.86
855,15.84,3.09,3.97
856,23.27,4.58,4.92
857,14.61,3.07,3.42
858,18.12,4.34,3.09
859,18.33,1.68,4.42
860,5.59,1.56,1.97
861,13.12,2.41,1.15
862,10.87,3.17,3.67
863,11.33,1.58,3.04
864,8.38,2.41,2.03
865,12.83,2.73,2.63
866,23.16,7.96,13.93
867,15.94,4.4,3.09
868,9.81,1.76,1.64
869,1.82,1.17,0.63
870,5.57,2.56,2.44
871,10.66,1.69,3.08
872,11.83,1.96,3.24
873,7.18,2.22,1.53
874,12.22,4.26,4.57
875,11.48,0.67,1.71
876,13.11,1.87,2.57
877,20.86,1,4.34
878,11.08,1.15,3.73
879,13.79,2.58,2.33
880,26.63,3.97,7.82
881,8.05,1.57,3
882,7.85,1.19,3.43
883,3.74,3.74,2.19
884,6.94,1.57,2.32
885,26.85,1.89,6.83
886,11.33,2.87,2.67
887,19.37,5.52,3.89
888,19.78,6.95,5.69
889,13.67,2.58,2.15
890,19.74,6.23,8.53
891,16.05,2.88,3.47
892,14.4,3.46,2.66
893,14.2,1.5,2.65
894,3.41,0.64,2.22
895,8.81,0.48,4.5
896,4.59,2.6,2.71
897,10.15,1.34,1.88
898,7.42,1.49,1.16
899,8.33,1.55,3.57
900,25.24,5.45,4.66
901,8.38,3.02,2.33
902,6.49,3.11,5.99
903,12.19,3.02,4.96
904,10.17,3.29,3.56
905,8.21,3.08,3.98
906,8.86,4.79,5.42
907,8.46,3.02,1.52
908,1.5,3.08,2.1
909,8.8,2.54,4.24
910,5.29,0.99,1.76
911,12.46,3.99,14.38
912,13.98,3.34,3.63
913,7.91,1.89,2.26
914,10.14,3.34,2.2
915,11.98,6.36,4.16
916,11.08,3.51,3.61
917,10.7,3.54,3.25
918,16.57,5.83,16.04
919,7.9,0.54,1.8
920,11.65,2.4,5.3
921,6.48,0.13,1.68
922,15.4,1.82,2.48
923,12.33,6.21,10.53
924,24.81,3.37,12.67
925,25.37,4.83,9.65
926,12.2,2.57,2.5
927,21.77,6.48,5.11
928,5.11,3.05,1.23
929,8.13,0.53,1.94
930,19.17,1.04,3.19
931,17.26,4,8.15
932,8.78,0.9,3.14
933,1.69,1.81,0.84
934,6.45,1.78,2.5
935,1.09,1.84,0.85
936,7.49,1.2,2.28
937,13.75,0.81,3.09
938,12.59,0.27,3.21
939,6.1,3.14,2.2
940,21.12,4.16,6.75
941,22.85,2.58,3.61
942,11.45,3.23,3.5
943,8.16,1.13,2.83
944,16.93,12.28,8.04
945,17.13,2.02,4.62
946,23.97,2.76,6.44
947,3.44,0.79,0.63
948,17.85,1.21,2.88
949,18.69,2.26,6.8
950,16.68,7.58,8.3
951,12.31,3.96,12.82
952,22.23,4.79,9.06
953,4.53,4.26,0.84
954,12.28,3.29,2.93
955,11.76,0.79,2.43
956,10.64,3.37,5.76
957,7.69,1.37,2.31
958,17.79,2.34,5.35
959,4.84,3.79,2.74
960,11.5,1.35,3.09
961,28.79,3.28,6.82
962,7.04,2.67,2.56
963,15.41,2.38,2.06
964,23.27,2.88,3.83
965,5.94,2.12,1.78
966,6.48,3.09,2.73
967,9.2,1.72,1.92
968,15.87,3.49,6.01
969,17.79,2.29,1.98
970,7.27,2.72,0.76
971,9.62,4.7,5.29
972,4.15,2.12,0.36
973,14.36,1.04,2.09
974,24.59,1.81,7.72
975,9.17,1.47,3.85
976,13.65,1.51,2.28
977,16.13,2.55,2.27
978,5.47,1.04,2.12
979,8.04,2.52,0.98
980,12.82,2.19,3.47
981,7.1,2.86,2.6
982,25.87,4.84,5.94
983,15.03,1.25,5.46
984,13.54,1.65,2.2
985,18.56,2.67,3.04
986,9.5,2.11,2.88
987,9.12,3.41,1.62
988,27.14,3.54,5.67
989,7.42,0.51,1.52
990,8.25,2.82,3.37
991,4.47,1.97,3.11
992,7.2,1.05,3.16
993,3.07,3.73,4.62
994,4.57,2.09,0.57
995,14.67,4.04,2.39
996,10.11,1.31,1.95
997,10.62,3.43,2.88
998,20.02,2.66,2.79
999,8.24,1.09,2
1000,4.53,1.4,0.98
