Year,Quarter,CROPYIELD
1986,1,8749.127
1986,2,8788.524
1986,3,8872.601
1986,4,8920.193
1987,1,8986.367
1987,2,9083.256
1987,3,9162.024
1987,4,9319.332
1988,1,9367.502
1988,2,9490.594
1988,3,9546.206
1988,4,9673.405
1989,1,9771.725
1989,2,9846.293
1989,3,9919.228
1989,4,9938.767
1990,1,10047.386
1990,2,10083.855
1990,3,10090.569
1990,4,9998.704
1991,1,9951.916
1991,2,10029.51
1991,3,10080.195
1991,4,10115.329
1992,1,10236.435
1992,2,10347.429
1992,3,10449.673
1992,4,10558.648
1993,1,10576.275
1993,2,10637.847
1993,3,10688.606
1993,4,10833.987
1994,1,10939.116
1994,2,11087.361
1994,3,11152.176
1994,4,11279.932
1995,1,11319.951
1995,2,11353.721
1995,3,11450.31
1995,4,11528.067
1996,1,11614.418
1996,2,11808.14
1996,3,11914.063
1996,4,12037.775
1997,1,12115.472
1997,2,12317.221
1997,3,12471.01
1997,4,12577.495
1998,1,12703.742
1998,2,12821.339
1998,3,12982.752
1998,4,13191.67
1999,1,13315.597
1999,2,13426.748
1999,3,13604.771
1999,4,13827.98
2000,1,13878.147
2000,2,14130.908
2000,3,14145.312
2000,4,14229.765
2001,1,14183.12
2001,2,14271.694
2001,3,14214.516
2001,4,14253.574
2002,1,14372.785
2002,2,14460.848
2002,3,14519.633
2002,4,14537.58
2003,1,14614.141
2003,2,14743.567
2003,3,14988.782
2003,4,15162.76
2004,1,15248.68
2004,2,15366.85
2004,3,15512.619
2004,4,15670.88
2005,1,15844.727
2005,2,15922.782
2005,3,16047.587
2005,4,16136.734
2006,1,16353.835
2006,2,16396.151
2006,3,16420.738
2006,4,16561.866
2007,1,16611.69
2007,2,16713.314
2007,3,16809.587
2007,4,16915.191
2008,1,16843.003
2008,2,16943.291
2008,3,16854.295
2008,4,16485.35
2009,1,16298.262
2009,2,16269.145
2009,3,16326.281
2009,4,16502.754
2010,1,16582.71
2010,2,16743.162
2010,3,16872.266
2010,4,16960.864
2011,1,16920.632
2011,2,17035.114
2011,3,17031.313
2011,4,17222.583
2012,1,17367.01
2012,2,17444.525
2012,3,17469.65
2012,4,17489.852
2013,1,17662.4
2013,2,17709.671
2013,3,17860.45
2013,4,18016.147
2014,1,17953.974
2014,2,18185.911
2014,3,18406.941
2014,4,18500.031
2015,1,18666.621
2015,2,18782.243
2015,3,18857.418
2015,4,18892.206
2016,1,19001.69
2016,2,19062.709
2016,3,19197.938
2016,4,19304.352
2017,1,19398.343
2017,2,19506.949
2017,3,19660.766
2017,4,19882.352
2018,1,20044.077
2018,2,20150.476
2018,3,20276.154
2018,4,20304.874
2019,1,20415.15
2019,2,20584.528
2019,3,20817.581
2019,4,20951.088
2020,1,20665.553
2020,2,19034.83
2020,3,20511.785
2020,4,20724.128
2021,1,20990.541
2021,2,21309.544
2021,3,21483.083
2021,4,21847.602
2022,1,21738.871
2022,2,21708.16
2022,3,21851.134
2022,4,21989.981
2023,1,22112.329
2023,2,22225.35
2023,3,22490.692
2023,4,22668.986
